,correlation,difference,fraction receiving evidence,n_agents,n_evidence,n_iterations,risk,trust
144,0.9189101283510236,0.23993535427187496,0.33,50,10,50,0.3,0.3
145,0.900208110428791,0.047435897435897455,0.33,50,10,50,0.3,0.3
146,0.8528755757630684,0.17619588062211003,0.33,50,10,50,0.3,0.3
147,0.6854980391593957,0.13720050441361917,0.33,50,10,50,0.3,0.3
148,0.8935929606598968,0.19838487972508576,0.33,50,10,50,0.5,0.5
149,0.880263382450254,0.12130306851618304,0.33,50,10,50,0.5,0.5
150,0.8614093039346802,0.10568740291052142,0.33,50,10,50,0.5,0.5
151,0.7766970661266104,0.15413692836373236,0.33,50,10,50,0.5,0.5
152,0.877912767106091,0.14478178910830572,0.33,50,10,50,0.7,0.7
153,0.4761308187838476,0.16410256410256416,0.33,50,10,50,0.7,0.7
154,0.5935987677823749,0.10410256410256409,0.33,50,10,50,0.7,0.7
155,0.687971573562065,0.06168384879725078,0.33,50,10,50,0.7,0.7
156,0.6163401673517984,0.1041025641025642,0.33,50,10,50,1.0,1.0
157,0.3670690438611958,0.03333333333333344,0.33,50,10,50,1.0,1.0
158,0.24655395104104558,0.21410256410256423,0.33,50,10,50,1.0,1.0
159,0.7771310454383363,0.08256410256410272,0.33,50,10,50,1.0,1.0
160,0.9551038536393719,0.16555101987753648,0.5,50,10,50,0.0,0.0
161,0.896073992566457,0.09578641289981486,0.5,50,10,50,0.0,0.0
162,0.8946364476042362,0.09053383774695241,0.5,50,10,50,0.0,0.0
163,0.7117531192920284,0.06743589743589744,0.5,50,10,50,0.0,0.0
164,0.9651814937599962,0.10478178910830578,0.5,50,10,50,0.3,0.3
165,0.6732333353615644,0.13230769230769215,0.5,50,10,50,0.3,0.3
166,0.8358279609464802,0.07911974623314826,0.5,50,10,50,0.3,0.3
167,0.8175128059803601,0.07076923076923071,0.5,50,10,50,0.3,0.3
168,0.9231309407937022,0.037435897435897425,0.5,50,10,50,0.5,0.5
169,0.9061105090872331,0.07655564366904558,0.5,50,10,50,0.5,0.5
170,0.8164420368815813,0.1032223103357122,0.5,50,10,50,0.5,0.5
171,0.7596347722399779,0.14386717108028577,0.5,50,10,50,0.5,0.5
172,0.8394133186313751,0.08578641289981481,0.5,50,10,50,0.7,0.7
173,0.8356103492721516,0.11067922500574168,0.5,50,10,50,0.7,0.7
174,0.8944466881646179,0.06410256410256414,0.5,50,10,50,0.7,0.7
175,0.8358607799548,0.13754692043351863,0.5,50,10,50,0.7,0.7
176,0.8176973648633258,0.0922176865442031,0.5,50,10,50,1.0,1.0
177,0.8329126794919978,0.20344435633095467,0.5,50,10,50,1.0,1.0
178,0.5175422338627736,0.1643379571248426,0.5,50,10,50,1.0,1.0
179,0.7712750513045061,0.16444898012246376,0.5,50,10,50,1.0,1.0
180,0.9701343273679637,0.140803595030399,0.75,50,10,50,0.0,0.0
181,0.8843464750109823,0.149888977002379,0.75,50,10,50,0.0,0.0
182,0.9667577034477358,0.08053383774695236,0.75,50,10,50,0.0,0.0
183,0.9651352833521547,0.05410256410256405,0.75,50,10,50,0.0,0.0
184,0.9393592488950929,0.1265556436690456,0.75,50,10,50,0.3,0.3
185,0.8684439736170114,0.06820512820512813,0.75,50,10,50,0.3,0.3
186,0.9730601822372793,0.049798971238889746,0.75,50,10,50,0.3,0.3
187,0.8985332522264136,0.06424795136135338,0.75,50,10,50,0.3,0.3
188,0.9610505273988424,0.05888435321086971,0.75,50,10,50,0.5,0.5
189,0.8269131503494848,0.07076923076923079,0.75,50,10,50,0.5,0.5
190,0.8762509233797459,0.05593180015860416,0.75,50,10,50,0.5,0.5
